candidate_id	title	area
7a1bf4fa621e57df	Deterministic relative counting for DNF	Enumeration and counting
c4eb5eb8ebb52ad7	Unconditional subexponential simulation of BPP	Pseudorandomness and derandomization
d7be6fa54182fd75	Explicit simultaneous isolation for perfect matchings	Pseudorandomness and derandomization
1e66ac93757d942b	Universal traversal sequences under arbitrary labels	Pseudorandomness and derandomization
f6ee6ef6416b3c77	Bipartite vertex expanders with constant expansion loss	Pseudorandomness and derandomization
65c3df6d47de17c4	Near-lossless undirected constant-degree vertex expanders	Pseudorandomness and derandomization
eb5920434f3b4c99	Optimal asymptotic binary rate–distance tradeoff	Coding and information theory
5dd7cb6fda44c23a	Full-length Reed–Solomon list decoding beyond Johnson	Coding and information theory
cc8ef212fb989194	Explicit efficiently decoded binary codes beyond Gilbert–Varshamov	Coding and information theory
4729cc6c7d63326a	Optimal-size highly unbalanced lossless expanders	Pseudorandomness and derandomization
e7e207ee275dcd3a	Constant-loss condensers with logarithmic seeds	Pseudorandomness and derandomization
40db749ee3ed32c5	Seeded extraction with constant total entropy loss	Pseudorandomness and derandomization
eda60d40c7af92e7	Extraction with log n plus constant seed length	Pseudorandomness and derandomization
24b2ae5cbd09ae2c	Direct constructions of near-optimal seeded extractors	Pseudorandomness and derandomization
5c2b0294c9ceb062	Optimal generators for hardness-to-randomness transformations	Pseudorandomness and derandomization
670340fc0e370955	Polynomial-time derandomization of randomized AC0	Pseudorandomness and derandomization
91a90402b44fb9f0	Polynomial-length constant-query locally decodable codes	Coding and information theory
2a778f55c42afe00	Promise-BPP derandomization implying EXP circuit hardness	Computational and circuit complexity
589bf1f7eea08036	Derandomization implying exponential nondeterministic circuit hardness	Computational and circuit complexity
434a712fb857b78c	Natural complete problems for randomized classes	Computational and circuit complexity
ad3ce2dbc7586c89	Extracting from low-entropy efficiently samplable sources	Pseudorandomness and derandomization
1fb7f48b6676ea4e	Exact homomorphism-test rejection versus distance	Property testing and distribution learning
83669f418ec126b7	Characterizing near-optimal monotonicity path testers	Property testing and distribution learning
6024e2a2b93d8201	Subquadratic proximity dependence for dense bipartiteness	Property testing and distribution learning
4d9904647dd44e73	Preserving bipartiteness distance by vertex sampling	Property testing and distribution learning
f0a9b9b2445fb47b	Sharp graph-removal bounds for fixed patterns	Property testing and distribution learning
34c1713b5986b61c	Characterizing polynomial-query dense graph properties	Property testing and distribution learning
68c5c8de76d5f1fa	Nonrelaxed local reduction from acyclicity to bipartiteness	Property testing and distribution learning
b3700220908305f9	Deterministic local reduction from acyclicity to bipartiteness	Property testing and distribution learning
b63099659e1721ef	Quantifying tolerant-testing overhead for graph classes	Property testing and distribution learning
84cb617ed0aeb8ce	Largest separation between SUM and OR circuits	Computational and circuit complexity
214898f1b28dc509	Cost of restricting linear circuits to depth two	Computational and circuit complexity
876850217a202acf	Unbounded XOR-over-OR complexity separations	Computational and circuit complexity
5c25224b74c902e8	Asymmetry of XOR complexity under matrix inversion	Computational and circuit complexity
086fb3e48fec3687	Sharp complexity constant for bounded-fanout XOR circuits	Computational and circuit complexity
0305b6f5611e61aa	Explicit superlinear in-place XOR lower bounds	Computational and circuit complexity
7f62136325cf5f2a	Nonlinear-gate advantages for binary linear operators	Computational and circuit complexity
e9209fb679f8c184	CNF lower bounds from bipartite girth	Computational and circuit complexity
2182baf562aca4d9	Explicit graph representations exceeding twice linear size	Computational and circuit complexity
c302abb6127fbfc2	Superlogarithmic clique-versus-independent-set communication	Communication complexity
