0003R Can randomness always be removed from polynomial-time decision algorithms? | Mathematics and Computation
0026 L versus BPL | Mathematics and Computation (2018 draft)
0851 Does the Lovasz Local Lemma imply a single cluster of solutions? | TCS Open Problems
0852 Exponential explicit Ramsey graphs via Li’s construction | SIGACT Open Problems Column
0853 Simpler explicit Ramsey lower-bound proofs | SIGACT Open Problems Column
0854 Does derandomizing Promise-ZPP derandomize Promise-BPP? | SIGACT Open Problems Column
0855 Query efficiency of PRGs constructed from arbitrary OWFs | SIGACT Open Problems Column
0856 Seed efficiency of PRGs constructed from arbitrary OWFs | SIGACT Open Problems Column
1005 Unconditional subexponential simulation of BPP | Pseudorandomness
1006 Explicit simultaneous isolation for perfect matchings | Pseudorandomness
1007 Universal traversal sequences under arbitrary labels | Pseudorandomness
1008 Bipartite vertex expanders with constant expansion loss | Pseudorandomness
1009 Near-lossless undirected constant-degree vertex expanders | Pseudorandomness
1013 Optimal-size highly unbalanced lossless expanders | Pseudorandomness
1014 Constant-loss condensers with logarithmic seeds | Pseudorandomness
1015 Seeded extraction with constant total entropy loss | Pseudorandomness
1016 Extraction with log n plus constant seed length | Pseudorandomness
1017 Direct constructions of near-optimal seeded extractors | Pseudorandomness
1018 Optimal generators for hardness-to-randomness transformations | Pseudorandomness
1019 Polynomial-time derandomization of randomized AC0 | Pseudorandomness
1024 Extracting from low-entropy efficiently samplable sources | Pseudorandomness
1104 Composition-space lower bounds from familiar complexity assumptions | Using Hardness vs Randomness to Design Low-Space Algorithms
1105 Distinguishing-to-predicting transformations for list predictors | Using Hardness vs Randomness to Design Low-Space Algorithms
1106 Deterministic PRG reconstruction without distinguishing-to-predicting transformations | Using Hardness vs Randomness to Design Low-Space Algorithms
1121 Explicit small-bias generators with additively optimal seeds | Theory of Unconditional Pseudorandom Generators
1122 Nontrivial PRGs for logarithmic-degree binary polynomials | Theory of Unconditional Pseudorandom Generators
1123 Exploit read-twice structure to improve AC0 PRGs | Theory of Unconditional Pseudorandom Generators
1124 Optimal PRGs for high-dimensional combinatorial rectangles | Theory of Unconditional Pseudorandom Generators
