id	outcome	previous_title	reviewed_title	concurrent_removal_reason
TCS-0001	renamed	Does P equal NP?	P versus NP	
TCS-0002	renamed	Does every unsatisfiable Boolean formula have a short efficiently checkable certificate?	NP versus coNP	
TCS-0003	renamed	Can randomness always be removed from polynomial-time decision algorithms?	P versus BPP	
TCS-0004	renamed	Can directed reachability be decided in deterministic logarithmic space?	L versus NL	
TCS-0005	renamed	Does the permanent have polynomial-size arithmetic circuits?	VP versus VNP	
TCS-0006	renamed	Unique Games: is near-satisfiability NP-hard to distinguish from low value?	Unique Games Conjecture	
TCS-0007	renamed	Is the matrix multiplication exponent equal to two?	Matrix multiplication exponent	
TCS-0008	renamed	Does general rational linear programming have a strongly polynomial algorithm?	Strongly polynomial linear programming	
TCS-0009	retained	Explicit univariate arithmetic circuit lower bounds	Explicit univariate arithmetic circuit lower bounds	
TCS-0010	retained	Superlinear constant-degree arithmetic circuit lower bounds	Superlinear constant-degree arithmetic circuit lower bounds	
TCS-0011	retained	Existence of complete EFX allocations for additive valuations	Existence of complete EFX allocations for additive valuations	
TCS-0012	renamed	Does P≠NP imply a samplable NP problem outside AvgP?	Average-case NP hardness from P ≠ NP	
TCS-0013	retained	Efficient explicit constant-rate tree codes	Efficient explicit constant-rate tree codes	
TCS-0014	retained	Cubic monotone formulas for majority	Cubic monotone formulas for majority	
TCS-0015	renamed	An explicit function with no linear-size Boolean circuits	Superlinear Boolean circuit lower bounds	
TCS-0016	retained	Exponential circuit lower bounds for 3-SAT	Exponential circuit lower bounds for 3-SAT	
TCS-0017	renamed	Karchmer–Raz–Wigderson formula composition conjecture	Karchmer–Raz–Wigderson conjecture	
TCS-0018	retained	P versus NP intersect coNP	P versus NP intersect coNP	
TCS-0019	retained	Polynomial formulas versus linear circuits	Polynomial formulas versus linear circuits	
TCS-0020	retained	Polynomial-size circuits for EXP	Polynomial-size circuits for EXP	
TCS-0021	renamed	Does NP contain a language without polynomial-size Boolean circuits?	NP versus P/poly	
TCS-0022	renamed	Does P≠NP imply the existence of one-way functions?	One-way functions from P ≠ NP	
TCS-0024	retained	Frege lower bounds from circuit hardness	Frege lower bounds from circuit hardness	
TCS-0025	retained	Superpolynomial lower bounds for unrestricted Frege proofs	Superpolynomial lower bounds for unrestricted Frege proofs	
TCS-0026	renamed	Does deterministic logarithmic space equal bounded-error randomized logarithmic space?	L versus BPL	
TCS-0027	retained	Black-box unitary synthesis	Black-box unitary synthesis	
TCS-0028	retained	Injective quantum oracles: standard versus erasing access	Injective quantum oracles: standard versus erasing access	
TCS-0029	retained	Maximum randomized-versus-quantum gap for total functions	Maximum randomized-versus-quantum gap for total functions	
TCS-0030	retained	Oracle separation of BQP from efficient-prover interactive proofs	Oracle separation of BQP from efficient-prover interactive proofs	
TCS-0031	retained	Oracle separation of BQP from IP	Oracle separation of BQP from IP	
TCS-0033	retained	Quantum query complexity versus bounded approximate degree	Quantum query complexity versus bounded approximate degree	
TCS-0034	retained	Quantum query–space tradeoffs for collisions and distinctness	Quantum query–space tradeoffs for collisions and distinctness	
TCS-0036	renamed	Does BPP differ from BQP?	BPP versus BQP	
TCS-0037	retained	NP outside BQP	NP outside BQP	
TCS-0042	renamed	Is there an algorithm to compute the stable image of an endomorphism of a free group?	Computing stable images of free-group endomorphisms	
TCS-0046	retained	Complexity of solving tropical or min-plus linear systems	Complexity of solving tropical or min-plus linear systems	
TCS-0047	retained	Complexity of testing membership to Kronecker polytopes	Complexity of testing membership to Kronecker polytopes	
TCS-0051	retained	Explicit dispersers for large quadratic-system solution sets	Explicit dispersers for large quadratic-system solution sets	
TCS-0053	retained	Sign-representation	Sign-representation	
TCS-0054	renamed	Tensor Decompositions: Algorithms up to the Uniqueness Threshold?	Tensor decomposition at the uniqueness threshold	
TCS-0055	renamed	Sum of Square Roots	Sum-of-square-roots problem	
TCS-0056	retained	Best α for α-MMS existence	Best α for α-MMS existence	
TCS-0064	retained	Condorcet outcome for m independent binary issues	Condorcet outcome for m independent binary issues	
TCS-0067	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The source combines several fairness criteria and valuation domains, with no selected remaining classification or approximation target. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/DagRep.12.11.28.
TCS-0068	retained	AC0 on trees	AC0 on trees	
TCS-0071	renamed	Proof systems computed by NC0 circuit families.	NC⁰ proof systems	
TCS-0073	retained	Complexity of mixed equilibria in identical-payoff polymatrix games	Complexity of mixed equilibria in identical-payoff polymatrix games	
TCS-0076	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The positive exchange-market claim has no common effective utility interface or exact-versus-approximate equilibrium contract across the proposed families. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/DagRep.4.8.73.
TCS-0088	renamed	Best approximation ratio for Max Di-Cut	Optimal approximation of Max Di-Cut	
TCS-0092	renamed	Complete techniques for deducing Fair Almost-Sure Termination	Complete methods for fair almost-sure termination	
TCS-0094	renamed	Do probabilities matter for resolving nondeterminism?	Uniform versus arbitrary stochastic resolvers	
TCS-0095	retained	Efficient LRS evaluation	Efficient LRS evaluation	
TCS-0096	retained	Fine-grained complexity of language emptiness for deterministic PDA	Fine-grained complexity of language emptiness for deterministic PDA	
TCS-0109	retained	Functions Weakly-Computable by Vector Addition Systems	Functions Weakly-Computable by Vector Addition Systems	
TCS-0111	retained	Lower bounds for determinizability of weighted automata over \(\mathbb Q\)	Lower bounds for determinizability of weighted automata over \(\mathbb Q\)	
TCS-0114	retained	Satisfiability of String Constraints with Subsequence relation	Satisfiability of String Constraints with Subsequence relation	
TCS-0120	renamed	Constructive Zermelo's Problem	Constructive Zermelo problem	
TCS-0126	renamed	The Parity Language	Parity language	
TCS-0128	retained	Better bounds on complementing unambiguous automata	Better bounds on complementing unambiguous automata	
TCS-0133	retained	Stronger versions of inclusion of probabilistic automata	Stronger versions of inclusion of probabilistic automata	
TCS-0135	renamed	The zeroness problem	Zeroness problem	
TCS-0136	retained	Universality of register automata over ordered domains	Universality of register automata over ordered domains	
TCS-0137	renamed	What is the complexity of constructing unambiguous automata	Complexity of constructing unambiguous automata	
TCS-0138	retained	Deterministic separability of nondeterministic timed languages	Deterministic separability of nondeterministic timed languages	
TCS-0146	retained	Complexity of universality for unambiguous context-free grammars	Complexity of universality for unambiguous context-free grammars	
TCS-0154	retained	Separating words problem	Separating words problem	
TCS-0156	retained	Universality for unambiguous automata	Universality for unambiguous automata	
TCS-0163	retained	Complexity of satisfiable word equations	Complexity of satisfiable word equations	
TCS-0164	retained	Equivalence for unambiguous grammars	Equivalence for unambiguous grammars	
TCS-0167	retained	Primitive words and context-freeness	Primitive words and context-freeness	
TCS-0168	retained	Word-automaton recognition of tree languages	Word-automaton recognition of tree languages	
TCS-0171	renamed	What is the exact complexity of word unification?	Complexity of word unification	
TCS-0173	renamed	Is unification of patterns modulo any set of variable-preserving equations decidable?	Pattern unification modulo variable-preserving equations	
TCS-0178	retained	Bounded-alphabet approximation of entropy-region faces	Bounded-alphabet approximation of entropy-region faces	
TCS-0184	retained	Entropic matroid approximations approaching unit ratio	Entropic matroid approximations approaching unit ratio	
TCS-0187	retained	Field dependence of linear-rank inequalities	Field dependence of linear-rank inequalities	
TCS-0188	retained	Finite inference systems for structural semigraphoids	Finite inference systems for structural semigraphoids	
TCS-0189	retained	Finite versus countable-support entropy regions	Finite versus countable-support entropy regions	
TCS-0194	retained	Maximum entropy versus the Copy lemma	Maximum entropy versus the Copy lemma	
TCS-0195	retained	Non-entropic extreme entropy-cone rays	Non-entropic extreme entropy-cone rays	
TCS-0196	retained	Polyhedrality of linear-rank inequality cones	Polyhedrality of linear-rank inequality cones	
TCS-0198	retained	Rational certificates for max-linear information inequalities	Rational certificates for max-linear information inequalities	
TCS-0205	renamed	The infimum of the Ingleton score	Infimum of the Ingleton score	
TCS-0218	retained	Cryptogenography	Cryptogenography	
TCS-0220	retained	External Information and Amortized Expected Communication	External Information and Amortized Expected Communication	
TCS-0222	retained	Merlin–Arthur Communication Complexity of Connectivity	Merlin–Arthur Communication Complexity of Connectivity	
TCS-0238	retained	An algorithmic Ahlswede–Körner lemma	An algorithmic Ahlswede–Körner lemma	
TCS-0240	retained	Communication for algorithmic secret-key agreement	Communication for algorithmic secret-key agreement	
TCS-0246	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. Q16 is explicitly an informal program about search with a Kolmogorov oracle, without a selected search relation or classification criterion. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://www.cs.umd.edu/~gasarch/open/kolm.pdf.
TCS-0247	retained	Equivalence of Shannon and algorithmic network coding	Equivalence of Shannon and algorithmic network coding	
TCS-0250	retained	Halving all complexities of a string tuple	Halving all complexities of a string tuple	
TCS-0254	retained	Networks characterized by information-flow inequalities	Networks characterized by information-flow inequalities	
TCS-0263	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The universal competitor representation quantifier is not reconciled with the finite-global-modulus hypothesis; choosing a restriction would alter the existence claim. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/DagRep.11.10.72.
TCS-0275	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The inherited record combines two different analytic-choice/recursion comparisons and does not supply a complete effective-reduction convention for a single chosen target. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/DagRep.8.9.1.
TCS-0277	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The well-ordering contribution lists optional classification subprojects and alternative comparison notions rather than a fixed represented operator. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://doi.org/10.4230/DagRep.8.9.1.
TCS-0279	retained	Extraction of mutual information about two strings	Extraction of mutual information about two strings	
TCS-0287	retained	Strong extractors for infinite sequences	Strong extractors for infinite sequences	
TCS-0290	retained	van Lambalgen-type theorem for time-bounded Kolmogorov complexity	van Lambalgen-type theorem for time-bounded Kolmogorov complexity	
TCS-0292	renamed	Can Sherali–Adams prove the totality of rwPHP(PLS) in low degree?	Low-degree Sherali–Adams proofs of rwPHP(PLS)	
TCS-0293	retained	Subquadratic deterministic simulation of nondeterministic space	Subquadratic deterministic simulation of nondeterministic space	
TCS-0295	retained	Sampling modular distributions locally	Sampling modular distributions locally	
TCS-0297	renamed	A counting function capturing exactly P with NP access	A counting characterization of P with NP access	
TCS-0298	retained	SAT multi-prover proofs using efficient SAT-oracle provers	SAT multi-prover proofs using efficient SAT-oracle provers	
TCS-0300	renamed	The randomized complexity of online labeling	Randomized complexity of online labeling	
TCS-0301	retained	Excluding one-sided randomized quasilinear-time log-space SAT	Excluding one-sided randomized quasilinear-time log-space SAT	
TCS-0302	retained	Excluding quasilinear-time log-space Max Clique	Excluding quasilinear-time log-space Max Clique	
TCS-0303	retained	Stronger log-space time lower bounds for SAT	Stronger log-space time lower bounds for SAT	
TCS-0304	retained	Stronger uniform depth-three majority lower bounds for SAT	Stronger uniform depth-three majority lower bounds for SAT	
TCS-0305	retained	Supercubic uniform formula lower bounds for SAT	Supercubic uniform formula lower bounds for SAT	
TCS-0306	retained	Efficient negation of d-DNNFs	Efficient negation of d-DNNFs	
TCS-0308	retained	Formula versus circuit succinctness	Formula versus circuit succinctness	
TCS-0309	retained	Recognizing evasive Boolean functions	Recognizing evasive Boolean functions	
TCS-0310	renamed	Is weighted falsifiability of unambiguous DNFs in polynomial time?	Polynomial-time weighted falsifiability of unambiguous DNFs	
TCS-0315	retained	Fat Minors	Fat Minors	
TCS-0318	concurrently_deleted			Removed on 2026-09-12 in the user-authorized specify-or-delete review. The counted quantity is precise, but this card has no non-tautological accepted answer representation for the requested full two-parameter asymptotic formula; imposing a formula grammar or selecting a particular conjectured bound would add a target. Editorial removal of an incompletely specified benchmark, not a resolution claim. Saved source: https://topp.openproblem.net/p7.
TCS-0326	retained	Similarity of Curves (Fréchet Distance)	Similarity of Curves (Fréchet Distance)	
TCS-0327	retained	Simple Polygonalizations	Simple Polygonalizations	
TCS-0328	retained	Sparse (1 + ϵ)-emulator for Euclidean Point Sets	Sparse (1 + ϵ)-emulator for Euclidean Point Sets	
TCS-0331	retained	Treewidth of 3-Manifolds	Treewidth of 3-Manifolds	
TCS-0340	retained	Average Distortion Embeddings	Average Distortion Embeddings	
TCS-0344	retained	Additivity of extension complexity under Cartesian products	Additivity of extension complexity under Cartesian products	
TCS-0363	retained	Negative cycles on surface embedded graphs	Negative cycles on surface embedded graphs	
TCS-0377	retained	Smallest Universal Set of Points for Planar Graphs	Smallest Universal Set of Points for Planar Graphs	
TCS-0381	retained	Flip Graph Connectivity in 3D	Flip Graph Connectivity in 3D	
TCS-0382	retained	General Unfoldings of Nonconvex Polyhedra	General Unfoldings of Nonconvex Polyhedra	
TCS-0387	retained	Dynamic Planar Nearest Neighbors	Dynamic Planar Nearest Neighbors	
TCS-0388	renamed	Can all pairwise sums X+Y be sorted in quadratic time?	Sorting X + Y	
TCS-0398	retained	Planar Euclidean Maximum TSP	Planar Euclidean Maximum TSP	
TCS-0403	retained	Euclidean Minimum Spanning Tree	Euclidean Minimum Spanning Tree	
TCS-0406	renamed	Edge-Unfolding Convex Polyhedra	Dürer’s conjecture	
TCS-0408	retained	Minimum Euclidean Matching in 2D	Minimum Euclidean Matching in 2D	
TCS-0409	retained	Minimum-Link Path in 2D	Minimum-Link Path in 2D	
TCS-0410	retained	Output-sensitive Convex Hull in \R^d	Output-sensitive Convex Hull in \R^d	
TCS-0411	retained	Point Location in 3D Subdivision	Point Location in 3D Subdivision	
TCS-0412	retained	Polygonal Curve Simplification	Polygonal Curve Simplification	
TCS-0414	retained	Surface Reconstruction	Surface Reconstruction	
TCS-0416	retained	Visibility Graph Recognition	Visibility Graph Recognition	
TCS-0417	retained	Voronoi Diagram of Lines in 3D	Voronoi Diagram of Lines in 3D	
TCS-0419	retained	coNP certificates for three-manifold homeomorphism	coNP certificates for three-manifold homeomorphism	
TCS-0423	retained	Efficient algorithms for multiparameter persistence	Efficient algorithms for multiparameter persistence	
TCS-0427	retained	NP certificates for homeomorphism of three-manifolds	NP certificates for homeomorphism of three-manifolds	
TCS-0428	retained	NP recognition of closed hyperbolic three-manifolds	NP recognition of closed hyperbolic three-manifolds	
TCS-0430	retained	NP-hardness of three-manifold homeomorphism	NP-hardness of three-manifold homeomorphism	
TCS-0432	retained	Polynomial flip-distance bounds for three-manifold triangulations	Polynomial flip-distance bounds for three-manifold triangulations	
TCS-0441	retained	Characterizing CSP languages with linear non-redundancy	Characterizing CSP languages with linear non-redundancy	
TCS-0444	retained	Polynomial kernels for Boolean MinCSP	Polynomial kernels for Boolean MinCSP	
TCS-0453	retained	Sparse matrices for LPN	Sparse matrices for LPN	
TCS-0464	retained	Information leakage in distributed OR	Information leakage in distributed OR	
TCS-0465	renamed	Can every perfect secret-sharing access structure use shares below exponent one half?	Sub-square-root share-size exponents in perfect secret sharing	
TCS-0467	renamed	Can LZ77 random access use linear compressed space and logarithmic query time?	Linear-space LZ77 random access	
TCS-0468	renamed	Can pattern matching run in linear time in the LZ77 input size?	Linear-time LZ77 pattern matching	
TCS-0469	renamed	What is the deterministic round complexity of maximum independent set in the congested clique?	Maximum independent set in the congested clique	
TCS-0470	renamed	Can grammar random access use O(g log g) bits with logarithmic query time?	Grammar random access in O(g log g) bits	
TCS-0478	renamed	Can exact fully dynamic APSP have edge-linear amortized updates and polylogarithmic queries?	Dynamic APSP with edge-linear updates	
TCS-0481	renamed	Do single-pair shortest paths require cubic-size min-plus circuits?	Cubic min-plus circuit lower bounds for shortest paths	
TCS-0482	renamed	Does naive evaluation over p-stable semirings converge in O((p+1)n) rounds?	Linear-round convergence over stable semirings	
TCS-0487	retained	Complexity of polymatroid query-size bounds	Complexity of polymatroid query-size bounds	
TCS-0488	retained	Computability of entropic query-size bounds	Computability of entropic query-size bounds	
