# Initial scope-review worksheet, 10 September 2026. Production assessments are in importance_category_review.json; canonical detailed cards and subsequent routing may supersede this snapshot.
# Category	IDs	Score	Editorial reason
1	0858 0860	72	A complexity classification for a natural quantum Hamiltonian or counting task would clarify the reach of core quantum complexity classes.
1	0861	83	Locating QMA(2) in a standard time class tests the computational effect of unentangled quantum witnesses.
1	0862	76	Bounding constant-round quantum refereed games compares two basic verification models.
1	0866	75	The complexity of learning quantum circuits connects quantum information access with computational learning.
1	0857	68	Understanding QAOA on the SK model gives a substantive benchmark for a widely studied variational algorithm.
1	0859	63	The question isolates an architecture restriction in shallow quantum circuits and could inform circuit lower bounds.
1	0863	57	A focused fault-tolerance question concerning a specific stage of logical gate implementation.
1	0864 0865	54	A representation question for a particular quantum error-correction formalism, with a narrower scope than general computational-model separations.
2	0318	94	The k-set problem is a central extremal question about point arrangements and underlies bounds for many geometric algorithms.
2	0406	92	Edge-unfolding convex polyhedra is a longstanding general question connecting convex geometry, folding, and algorithmic representation.
2	0403	89	The complexity of Euclidean minimum spanning trees governs a basic geometric optimization primitive.
2	0408	88	Exact Euclidean matching is a fundamental geometric optimization problem whose complexity affects many geometric algorithms.
2	0378	87	Determining the chromatic number of the plane is a broad extremal question connecting geometry and graph coloring.
2	0410	86	An optimal output-sensitive convex-hull algorithm would resolve a core geometric computation tradeoff across dimensions.
2	0417	85	The complexity of Voronoi diagrams of lines controls a basic three-dimensional proximity structure.
2	0411	84	Point location in three-dimensional subdivisions is a central spatial-search primitive with broad algorithmic uses.
2	0402	83	Sharp distance bounds for planar and spatial point sets are foundational extremal constraints for geometric algorithms.
2	0391	82	The thrackle question links topological drawing restrictions to global extremal graph structure.
2	0416	81	Recognizing visibility graphs tests whether geometric visibility can be recovered from purely combinatorial data.
2	0377	80	Universal point sets measure the coordinate resources needed to represent every planar graph.
2	0388	79	Sorting pairwise sums is a basic structured comparison problem connected to fine-grained geometric computation.
2	0373 0405	78	Unfolding an entire class of polyhedra would give a general structural result for geometric representation.
2	0399 0415	77	The combinatorial complexity of geometric unions and decompositions drives the bounds of many arrangement algorithms.
2	0326 0412	76	Curve comparison and simplification are reusable geometric primitives; tight complexity bounds would affect a broad range of shape algorithms.
2	0348 0353	74	Faster separators or centerpoints would improve a general-purpose tool used in many geometric algorithms.
